,ctm15_ch1,ctm15_ch2,ctm15_ch3,ctm15_ch4,ctm15_ch5,ctm15_ch6,ctm15_ch7,ctm15_ch8,ctm15_ch9,ctm15_ch10,ctm15_ch11,ctm15_ch12,ctm15_ch13,ctm15_ch14,ctm15_ch15,ctm15_ch16,ctm15_ch17,ctm15_ch18,ctm15_ch19,ctm15_ch20,ctm15_ch21,ctm15_ch22,ctm15_chX
0,-91.2270818185414,-99.12923382068092,-73.71381189214776,-85.01235673669775,-65.58978607106249,-44.9999292867961,-68.62020652159849,-41.13096503751952,-50.317583023255864,-60.62958758241587,-64.26416025412321,-50.807709803978966,-33.85805396094377,-48.26006509641106,-30.883899952180865,-29.284914367695553,-19.41102934719905,-23.528145146005293,-18.523449909334367,-24.259313872048033,-12.979013329158862,-2.8010068901630647,-79.19735403526401
1,-91.22992405290799,-99.13334661895144,-73.71422237506167,-85.01117060145233,-65.58943940912864,-44.9986199906817,-68.6185187049624,-41.131867390171735,-50.31782982361477,-60.62343423105295,-64.26390514152006,-50.79997357974419,-33.857801610336494,-48.25574287068071,-30.882207553639144,-29.286392492948792,-19.410843022803608,-23.529996355137786,-18.52299909204175,-24.254248288101415,-12.978520634543482,-2.801003192065766,-79.19222233551021
2,-91.23093315751763,-99.13025140730647,-73.7043862188988,-85.01188732442483,-65.59299000737775,-44.999498301463895,-68.61851050190876,-41.13144721226039,-50.317205774564464,-60.62035184883099,-64.26406233281001,-50.80488941564134,-33.85776835948299,-48.25430782952257,-30.883729941330575,-29.284912269769904,-19.410633709237114,-23.527375427298423,-18.522859366172618,-24.262211620997252,-12.978033331869666,-2.8010205324777164,-79.19087909882764
3,-91.23036282210026,-99.13053368166315,-73.71089580059487,-85.00954619962883,-65.5895282389098,-44.999646151877144,-68.61884899751213,-41.1322639283933,-50.318293918267145,-60.62365419654854,-64.26393338245472,-50.806364871616644,-33.85791247295338,-48.254648100337405,-30.886265475629926,-29.286544157275998,-19.410975965007204,-23.524776877627865,-18.523278752492384,-24.253935344891577,-12.978040016581403,-2.8010296397908383,-79.19524949219716
4,-91.23035956045747,-99.13020928184298,-73.71476717994096,-85.01376996268124,-65.59203552833216,-45.00182251250633,-68.61722906278321,-41.13085492855281,-50.3180342808378,-60.61973551274253,-64.26307078018696,-50.806133634938256,-33.85803792209277,-48.254599761694585,-30.877070373106644,-29.287370653713676,-19.410727232822826,-23.526085242155972,-18.523336320143454,-24.253710889432075,-12.978522724145167,-2.8010033766831475,-79.19600689870771
5,-91.23100421989587,-99.13216134828403,-73.70931507819535,-85.01151848870907,-65.58662002781344,-45.00183205425546,-68.61990233536744,-41.13135767771752,-50.31786311395581,-60.621624962016746,-64.26329250829124,-50.8004359856002,-33.85786204380486,-48.25653937206678,-30.888134969124096,-29.285409858016642,-19.410783869714844,-23.528516839046535,-18.522848382528743,-24.256481097332248,-12.97850068423951,-2.801027604806407,-79.18963648239396
6,-91.22916910706718,-99.13399288503606,-73.70913331148253,-85.01608651767694,-65.59321602746643,-44.997995176353484,-68.61952488746734,-41.13195758688386,-50.31760723858758,-60.62528098198674,-64.2638392421758,-50.8018353344603,-33.85800672507741,-48.25526121951914,-30.8728353999328,-29.28502718313254,-19.411147789475447,-23.52722214539132,-18.523316618208696,-24.261190063877905,-12.979406011763169,-2.8010089949240267,-79.19784015792676
7,-91.227393339895,-99.13039730129485,-73.70975048876511,-85.01301745496325,-65.5875141038783,-44.99890452966328,-68.61802042593932,-41.13211787209609,-50.31810992439148,-60.6230340381316,-64.26371400523713,-50.801398174368344,-33.8581551373231,-48.25114771520034,-30.87796485321587,-29.286835506160806,-19.41133380842699,-23.52574035151674,-18.52278025222772,-24.259002061198796,-12.978777343449556,-2.8010140950080977,-79.19753581722443
8,-91.23075340815106,-99.13096090484903,-73.7093036939223,-85.01408189920538,-65.58794225332925,-44.999921537088255,-68.61721368066128,-41.132827338796986,-50.3179853922573,-60.61862343720108,-64.26374604395168,-50.799313734946075,-33.85774180986401,-48.2587622922077,-30.886970394056803,-29.286537882421033,-19.410773891834676,-23.527446022266513,-18.52285788786574,-24.257105731791224,-12.979183977539021,-2.800994195665491,-79.19203225602617
9,-91.22754481432034,-99.13533414244114,-73.70950088297647,-85.01519323508963,-65.58399723729345,-44.99659187026686,-68.61821104172452,-41.13036106331103,-50.31765151888894,-60.61738784158787,-64.26434758124108,-50.80124492804203,-33.85818360802943,-48.2568060370838,-30.879174611334943,-29.284387599725587,-19.41071233766796,-23.527210412933215,-18.52294270961443,-24.257762308688864,-12.978727841592175,-2.8010076235396713,-79.1928054015352
