,ctm12_ch1,ctm12_ch2,ctm12_ch3,ctm12_ch4,ctm12_ch5,ctm12_ch6,ctm12_ch7,ctm12_ch8,ctm12_ch9,ctm12_ch10,ctm12_ch11,ctm12_ch12,ctm12_ch13,ctm12_ch14,ctm12_ch15,ctm12_ch16,ctm12_ch17,ctm12_ch18,ctm12_ch19,ctm12_ch20,ctm12_ch21,ctm12_ch22,ctm12_chX
0,-88.9832269494466,-97.4742974415848,-72.46647725605489,-83.3620408387273,-64.08218038193945,-43.67657221186158,-67.81951717862744,-40.05823120451738,-48.58766939284475,-59.920027038214904,-62.82057055000134,-50.33192073590525,-32.6463256133948,-48.90832754776271,-30.645357033096985,-28.90121493270967,-19.054161336440014,-23.611747406327247,-17.92791485351669,-24.44942941294557,-12.971257693250275,-2.803499416488947,-78.27236834550884
1,-88.98333408707958,-97.474328816528,-72.46645387587336,-83.36204338265738,-64.08210178787823,-43.67648081161815,-67.81938463943283,-40.058206939853605,-48.58772783431127,-59.920016563775775,-62.82056437869834,-50.33206100771452,-32.64639253258096,-48.908337191973665,-30.64530458564307,-28.901235227076803,-19.054039708974454,-23.611768308071788,-17.927856528460254,-24.44941853869566,-12.971254361718335,-2.8035031073651524,-78.27243207498323
2,-88.98329317246103,-97.4742958487459,-72.46657337527924,-83.36204799767044,-64.0821881174525,-43.67656945021514,-67.81949100010982,-40.05814045517428,-48.58767893205175,-59.91998679591385,-62.82057405122667,-50.33191579612846,-32.64633488094115,-48.90834912298021,-30.64537283251836,-28.90122537324623,-19.05416453543301,-23.61171196518848,-17.927887308382246,-24.44941708344545,-12.971251727041045,-2.803504917794791,-78.2724994070565
3,-88.98339317618843,-97.47431002320465,-72.466526525825,-83.3620621749748,-64.082189313281,-43.676656811016194,-67.81953506302949,-40.05818636482641,-48.587708774386385,-59.91996772855774,-62.82056146368004,-50.33190312130587,-32.64636386660406,-48.90836243618935,-30.64533689086424,-28.90126365242849,-19.05410060056234,-23.61173574680241,-17.927867103477503,-24.449412070086407,-12.971256466044549,-2.803501554246953,-78.27256138451438
4,-88.9832927948139,-97.47429377611738,-72.4665384349619,-83.36212389640885,-64.0821802064796,-43.67649814919612,-67.81952167417764,-40.05821600810187,-48.587712490247746,-59.91992418927897,-62.820542220429225,-50.331878137529486,-32.64638067537489,-48.908334310095015,-30.645347514507236,-28.90120099497285,-19.05405150756339,-23.611697161555558,-17.927862814540863,-24.449409291624026,-12.971258949685925,-2.8035007445658615,-78.27255079410538
5,-88.98332631070858,-97.4743027273842,-72.46644312755137,-83.3620471749987,-64.0821101207452,-43.67645352449742,-67.81952236190267,-40.058268728833276,-48.58767805197738,-59.92007465176223,-62.82056104367424,-50.33204010924299,-32.646407040892534,-48.90836003995169,-30.645332796987347,-28.901247356443033,-19.054116848497017,-23.611766151889885,-17.927888897769424,-24.449393175278875,-12.971258404797737,-2.80350559596924,-78.2724248950484
6,-88.98340663790289,-97.47421096154378,-72.46646290589484,-83.36208374432509,-64.08216574354122,-43.67657192822661,-67.81955943881043,-40.0582691770542,-48.58775766644513,-59.91998541856065,-62.820581249095426,-50.33186170492362,-32.646346006796975,-48.908320492461684,-30.645368667910663,-28.90128378417294,-19.05402518587468,-23.61167640963947,-17.92793894991109,-24.449375155872687,-12.971260414029198,-2.8035014998076755,-78.27257966584777
7,-88.98327457147235,-97.47420453449993,-72.46641142193363,-83.36208274864578,-64.08223925636571,-43.67656815282078,-67.81946395063589,-40.058159495333705,-48.58771613486738,-59.920118843832576,-62.82052004313255,-50.3319321465522,-32.64633164303258,-48.908356540629924,-30.64535816291204,-28.901233272154162,-19.054175862741797,-23.61172751697614,-17.927912079589138,-24.449422597828015,-12.97125839804681,-2.803502575321357,-78.2724852157898
8,-88.98342150938879,-97.47434122726924,-72.46644319838964,-83.36211424538038,-64.08225632353172,-43.6766324234471,-67.81944338117087,-40.05826705880061,-48.58769818807499,-59.92006428883284,-62.82052955441729,-50.332029922817235,-32.64640223206667,-48.90840092077406,-30.645380224622876,-28.901300839604733,-19.05414992730336,-23.6117141115498,-17.92784609189826,-24.449392479088043,-12.971257212716232,-2.803502474138686,-78.27248666556389
9,-88.98340752951705,-97.47427674711312,-72.46642270008766,-83.36208583889533,-64.08211068646408,-43.67648054273823,-67.81937479899162,-40.05816291749333,-48.58768217881829,-59.92002936713803,-62.82057658038769,-50.33184408494437,-32.646460524508484,-48.90836836633731,-30.64536885417506,-28.90121930760192,-19.054124975459168,-23.611679419143087,-17.92788699427082,-24.44938452108889,-12.971256825266313,-2.8035015345950374,-78.27236623369201
