,mmm12_ch1,mmm12_ch2,mmm12_ch3,mmm12_ch4,mmm12_ch5,mmm12_ch6,mmm12_ch7,mmm12_ch8,mmm12_ch9,mmm12_ch10,mmm12_ch11,mmm12_ch12,mmm12_ch13,mmm12_ch14,mmm12_ch15,mmm12_ch16,mmm12_ch17,mmm12_ch18,mmm12_ch19,mmm12_ch20,mmm12_ch21,mmm12_ch22,mmm12_chX
0,-77.7173817058191,-86.4377888387674,-69.50593081430179,-73.08574105615864,-65.76243139737005,-41.389289213612514,-71.75081155763152,-43.34110372866211,-47.34041068471387,-55.892614341789844,-62.37797978541938,-43.561206885140145,-31.47198558510336,-47.5304037666559,-28.03688419890984,-24.203633628164493,-19.81300330161108,-23.83791269947387,-18.6465620316971,-22.111922394820077,-12.0089767408622,-2.3973122114764873,-81.16391863996623
1,-77.51542765225068,-86.42207774501172,-69.51209689605656,-72.99259056582048,-65.79259038818367,-41.47960465662095,-71.7358862816064,-43.229236493754264,-47.37296357133167,-56.05876871807448,-62.44329969368242,-43.71589517590164,-31.53394355198045,-47.559869338607186,-28.084439911944667,-24.16499912763585,-19.798976296728114,-23.879317375370384,-18.669604316888275,-22.170155742694433,-12.005626367870478,-2.3792272865019863,-81.1740124298359
2,-77.59870418554645,-86.4542782308115,-69.4136643891435,-72.96660302438161,-65.84792076095627,-41.44106049080325,-71.72233325298765,-43.29216355025726,-47.44886290862705,-56.03267453418288,-62.35961101203619,-43.51457579812678,-31.488465606015573,-47.46897101833956,-28.025941498436797,-24.12321116180713,-19.764822076670285,-23.96849430745986,-18.639913763710993,-22.24799094323815,-11.93516073762242,-2.400665741304119,-81.2441955104397
3,-77.41035073572596,-86.41327922045346,-69.49769944468775,-72.89965881874541,-65.88728509595182,-41.45848309590522,-71.68166498019306,-43.2639757725372,-47.41382156929072,-56.05154257749633,-62.43134704389342,-43.52712428252956,-31.425649676318518,-47.54625871741112,-27.99531785139462,-24.227929505595633,-19.840855855731593,-23.884274893276107,-18.62383022411657,-22.125704035144548,-11.920987291641042,-2.3985641188108664,-81.09114930167371
4,-77.71537449981602,-86.43777959795108,-69.48327827361459,-72.93762814571781,-65.99061095932329,-41.498838870180165,-71.85039809099419,-43.270465786511664,-47.36354929781152,-55.86093814249638,-62.35643712641838,-43.57389431160532,-31.526247320127883,-47.452108830671285,-28.052705238758254,-24.205739887776282,-19.83308938109554,-23.89184842796946,-18.638847734455812,-22.199048544830163,-11.999415948614747,-2.4040569182215643,-81.0923110954723
5,-77.4951908196427,-86.36010867969198,-69.417209274338,-72.96929352007419,-65.74642353056817,-41.34758739745966,-71.87627328442153,-43.25024453501453,-47.403863825337524,-55.9317177475755,-62.43679970741836,-43.5907954125334,-31.454739082640657,-47.57015750337892,-28.023450821442847,-24.15715474654867,-19.833079870944047,-23.83149900454805,-18.641397581076006,-22.19944733387197,-11.959443126423096,-2.38744814880139,-81.26421610859872
6,-77.7476637550849,-86.33164122088286,-69.40834491246936,-72.9828898101911,-65.78160533764542,-41.35395054158873,-71.73173221040604,-43.20136268616848,-47.385447149736386,-55.973634455200916,-62.37033014927058,-43.51350869805085,-31.493013752938314,-47.559667893848655,-28.103939036620403,-24.19911170843454,-19.808694142330502,-23.865844555187373,-18.63840880746615,-22.215231475611617,-11.96188104650985,-2.391296994768408,-81.2902106320447
7,-77.75616330066401,-86.42470659152829,-69.5219179167255,-72.88191479458104,-65.9235862456614,-41.385063101834334,-71.83840169116756,-43.25402315877153,-47.27240731806434,-56.02070874128632,-62.42847677606465,-43.611583778830926,-31.51875496908414,-47.46918003138491,-27.968174341501346,-24.253422862756775,-19.82319154980151,-23.865014252730564,-18.598511728818828,-22.22327626772247,-11.96732344756073,-2.4035953808391515,-81.26049445220252
8,-77.49866263788441,-86.40635332896144,-69.5004684262523,-72.94622759944511,-65.82967303676382,-41.4979558543499,-71.89301971252583,-43.146831105327585,-47.47925366132072,-55.85670600903909,-62.364071735290814,-43.60052032740208,-31.448358562619877,-47.48290645288594,-28.00459790087273,-24.15932138407618,-19.793472618449254,-23.924413187807698,-18.64975315236481,-22.216298813479387,-11.978067369142408,-2.3979234812287977,-80.97819012184011
9,-77.48016562237709,-86.52397537127297,-69.5172677212716,-72.91705860519335,-65.91312674068335,-41.4782900611375,-71.88241796322723,-43.304290668257615,-47.4116639911677,-55.97321192704225,-62.34533563713207,-43.677903956203764,-31.526251807640634,-47.58136244226811,-28.075552396001168,-24.079813633308365,-19.76342749958013,-23.809887910579487,-18.667583156533738,-22.169799214535427,-12.0222346060904,-2.3732437516265192,-81.03774141330216
