logbeta.1,logbeta.2,logbeta.3,logbeta.4,logbeta.5,logbeta.6,logbeta.7,logbeta.8,logbeta.9,logbeta.10,logbeta.11,logbeta.12,logbeta.13,logbeta.14,logbeta.15,logbeta.16,logbeta.17,logbeta.18,logbeta.19,logbeta.20,logbeta.21,logbeta.22,logbeta.23,logbeta.24,logbeta.25,logbeta.26,logbeta.27,logbeta.28,logbeta.29,logbeta.30,logbeta.31,logbeta.32,logbeta.33,logbeta.34,logbeta.35,logbeta.36,logbeta.37,logbeta.38,logbeta.39,logbeta.40,logbeta.41,logbeta.42,logbeta.43,logbeta.44,logbeta.45,logbeta.46,logbeta.47,logbeta.48,logbeta.49,logbeta.50,logbeta.51,logbeta.52,logbeta.53,logbeta.54,logbeta.55,logbeta.56,logbeta.57,logbeta.58,logbeta.59,logbeta.60,logbeta.61,logbeta.62,logbeta.63,logbeta.64,logbeta.65,logbeta.66,logbeta.67,logbeta.68,logbeta.69,logbeta.70,logbeta.71,logbeta.72,logbeta.73,logbeta.74,logbeta.75,logbeta.76,logbeta.77,logbeta.78,logbeta.79,logbeta.80,logbeta.81,logbeta.82,logbeta.83,logbeta.84,logbeta.85,logbeta.86,logbeta.87,logbeta.88,logbeta.89,logbeta.90,logbeta.91,logbeta.92,logbeta.93,logbeta.94,logbeta.95,logbeta.96
-10.681256354280562,-10.535622727647587,-11.948932795268956,-9.80770888990098,-3.00853599787011,-4.135999730933612,-6.624805897535138,-4.034028872933288,-5.797998129524777,-7.805992142546321,-1000,-5.681459554728246,-13.279562236881779,-5.281380182503465,-8.141441321996918,-8.603508255452263,-5.1306693734904405,-7.13671117146842,-8.305233964931375,-12.081645048049394,-1000,-0.9722869215431474,-2.587328231315895,-9.231350094491498,-4.457451103393029,-0.8844166801782356,-7.072418783185826,-9.873330911667875,-9.85159364793185,-8.51652779823728,-6.323681274753728,-1000,-10.882943769530733,-6.764309118048467,-6.979316684007903,-6.696637339486811,-8.95042633167534,-1000,-7.801057582188878,-1000,-5.527341151877634,-8.37345640112774,-5.147852992046022,-8.171582333163192,-10.428124449527962,-9.208777260875422,-13.051243121979901,-9.766391181542891,-11.953221873595606,-11.699455968091542,-14.32906376300047,-1000,-12.20201796526883,-10.369009451263574,-16.21073731816491,-16.997809103752708,-9.626580385982443,-1000,-9.09837955940066,-10.939718594152147,-14.86548821189694,-10.394827052390156,-13.666699568008088,-12.768768945325148,-10.965533417721804,-17.03009163511313,-17.65147292311653,-1000,-14.938832420582484,-15.60562779355111,-1000,-9.4968144108736,-10.991460468522599,-9.881485933387586,-11.198236656744605,-11.518935830805885,-1000,-12.495546261376616,-1000,-1000,-13.406316516560157,-15.082188678130526,-10.61500567203776,-16.155302347625003,-17.71289473404929,-17.204720388510406,-1000,-17.642829475405797,-11.273515394922162,-10.385759766777264,-18.771871443254657,-17.534104353749562,-8.75252775762912,-13.241298341406301,-15.276663076155701,-10.179345786590838
-7.252681272590462,-6.407952964195175,-6.601924080956424,-6.299101999478602,-7.211333640466374,-6.3638394650933945,-7.351219832832419,-5.439412483104913,-8.030186293744816,-7.633640463871847,-1000,-8.649803881181692,-8.39261474454257,-13.144299175110529,-10.247105737791752,-8.636427577588556,-12.097133787776505,-9.134701524174218,-7.101326935803389,-12.482409026384268,-1000,-1000,-11.23790456355097,-7.153755427471297,-9.20328164771546,-9.882406441489785,-4.094834862079257,-4.581595687424278,-1.4312607767932817,-4.932390146567819,-4.782500012742617,-1000,-1.9059891003889156,-4.606017641573282,-7.135017596547559,-3.812668941741337,-3.57258900258044,-1.440610769570215,-4.018042923069283,-1000,-4.512862881271905,-2.314512538481347,-4.970117169673071,-5.459328161321502,-4.552141629917716,-6.382819162534254,-6.978049842341062,-4.4412874489407494,-11.161856098131391,-7.542664633750158,-9.470948946239352,-1000,-9.080811344718185,-6.033276152717364,-7.727940114198539,-7.436993322430158,-7.087352760543657,-1000,-7.3514147225936926,-8.872299822104942,-5.512587391651371,-4.433318814013559,-5.892137704222101,-4.968273588326917,-4.686285102964979,-6.3790351028410575,-7.778743729799695,-1000,-6.5921254474711555,-6.779602165533571,-1000,-5.414544052600331,-5.914852944081124,-4.895976953821766,-5.138418817472932,-5.357717823379193,-1000,-4.444027400015687,-1000,-1000,-7.3152774884686576,-10.143799223753378,-7.4322508659782045,-8.980148715004573,-7.082735398045521,-8.937856540067923,-1000,-12.688831550390757,-9.269600718239614,-6.407250884395388,-12.646449261271256,-8.408203760335823,-9.191988481941294,-8.198713645415305,-6.755514196686852,-5.585292978188715
-6.813365692272274,-7.456938365011559,-7.776553931191743,-6.677854433633167,-6.4940406473195385,-7.943645225896333,-7.3573508132338326,-4.8122875774956855,-5.877140394045578,-6.165660293902869,-1000,-5.073539972705403,-10.63664579601592,-6.530791700055813,-8.548928155279617,-10.413908289005798,-6.470535944993752,-8.134334268236667,-5.86639946150533,-9.640782602193234,-1000,-1000,-6.131020573238759,-8.839639273685425,-7.580402154334744,-5.271359706513291,-6.897592551597467,-7.1238374307718395,-7.170418259193345,-6.800567140025024,-5.417976911115803,-1000,-7.379951694752112,-6.4775244828968646,-7.963441157084796,-8.02780791106714,-7.279564823942084,-1000,-6.521245609611665,-1000,-5.024476738979085,-6.196241527578348,-4.859540542966483,-7.281604371275763,-7.630857892448426,-9.658352605059058,-8.717842909820861,-5.901344592163129,-8.441694605019608,-5.64503951356188,-7.389517744254341,-1000,-9.855931160687714,-7.747874349725551,-10.637171730518883,-7.600119222859405,-10.377283763857061,-1000,-7.788466289338767,-8.275616068977685,-5.437074999074274,-5.811083504220306,-6.854602214347838,-6.733014922676818,-5.344787717720482,-5.657079070433675,-4.625263465147134,-1000,-4.831772811172983,-2.8409220091791103,-1000,-6.1804529734116205,-6.058396221982289,-5.089832862278308,-6.15083114089726,-5.572402563816659,-1000,-4.852476854628997,-1000,-1000,-5.2443227238812975,-6.657955578994126,-2.8798131691406175,-5.31245369247627,-3.188175370698955,-4.122115489515188,-0.8296187807093406,-6.351981756363779,-4.722928473122984,-8.534029658168942,-5.809705773003525,-2.459264917685319,-4.97155661269092,-4.488411826272942,-5.3154705209643955,-2.1312077832204435
-4.193077020635658,-4.4163743687453305,-8.399086470588216,-5.050800800022662,-5.227468996471428,-3.9219201306684157,-9.149110596923562,-4.934028200579426,-2.8813592212319517,-3.627184442165295,-1000,-2.8713634161505746,-6.541108962405258,-3.16026533407286,-3.4471477352182704,-5.52522663883666,-2.7724989202229855,-3.5483447506081522,-3.903741777681757,-6.3007488604622495,-2.5422376068800534,-1000,-2.97014389405955,-4.247204552658558,-6.520986363621601,-3.294924145620066,-4.901183984430232,-5.777149418824562,-7.713013152246235,-4.3656779994621715,-5.168962490595814,-1000,-9.127414474775643,-4.290799249432494,-3.9165909616172345,-6.964928412741397,-9.695593892684645,-1000,-6.311530392246102,-1000,-6.1625826328219775,-12.059877393044273,-6.093659051047127,-5.944419707127817,-6.447135486276199,-4.04023608229678,-5.453759831979984,-5.971517665756828,-4.538359304769212,-4.582389980699854,-4.408056951712208,-1000,-5.753402199379177,-5.829095033883833,-5.284698538970774,-5.214570444573026,-6.523183036044486,-1000,-4.9095798950109675,-5.309467706049877,-4.587322416689756,-4.992236058849923,-4.7071648684716045,-5.256710320791336,-4.5742369497434705,-5.009302953866654,-4.042130836173789,-1000,-5.944531572486452,-4.540005456687436,-1000,-5.612427461577785,-6.309591768827295,-5.85208247297504,-5.267446345528966,-4.690945504404665,-1000,-5.292269109951678,-1000,-1000,-6.143350515912884,-4.10487518055439,-4.8827702452029715,-4.8241725806217985,-5.0058256484472325,-4.058489011046552,-1000,-4.925778268725902,-5.582527039250115,-4.552316920494648,-4.425377583941067,-5.0492732367912865,-4.1391578833598,-4.871481841488373,-4.263101474673686,-4.2957548087454
-9.984354406923865,-9.818144292319824,-9.382212867268668,-9.469006349842696,-3.8591858132341406,-4.686200984721998,-5.918867142476308,-4.169910657045116,-8.865478553763218,-9.252754462089436,-1000,-8.453593314721353,-12.668394077795044,-9.213273452183117,-9.64632374977072,-10.89415427111948,-8.339359047805303,-10.460612169606721,-10.634343827719391,-13.748891684828553,-1000,-1000,-6.804911536493279,-9.408484485071336,-6.5411393572290395,-2.9846234303620967,-5.259850223166841,-7.229911045193896,-8.215405889027506,-6.543684484361822,-4.325831446497069,-1000,-6.201084306940803,-5.215558238702058,-7.42793752926968,-5.114464383898424,-5.956988779732267,-1000,-5.83974769199124,-0.7020626090887985,-2.485740399454364,-3.0482082990651396,-1.471694742380511,-8.742212872051121,-9.399704549031304,-9.871022548594263,-12.231387142104788,-9.397957680191926,-14.043398987443688,-11.801869583385741,-15.778964155371757,-1000,-13.081305794916425,-9.604643196400618,-16.99019316400912,-17.796606430470057,-10.586286196568402,-1000,-10.266580990891663,-11.99006318527767,-15.868230080761345,-9.52841569134802,-13.601924854334095,-12.495009805912057,-10.256519041531432,-16.221099636909955,-18.7794452918911,-1000,-14.813248526376075,-15.46713875661773,-1000,-9.628606818067908,-11.688825616714702,-8.932091965819783,-11.500291298545267,-11.693827330677262,-1000,-12.314298193383657,-1000,-1000,-14.468138333427746,-17.201160454732477,-11.269059729022072,-17.94451693546325,-19.12493941723441,-19.626662438526605,-1000,-19.800342630955846,-13.28574506927088,-9.969198166960865,-22.938922883966367,-18.983622916190775,-11.378086140153881,-15.182063314457219,-16.380633063968723,-11.780590233207166
-9.650768530156986,-8.110363210114269,-10.086510216042722,-6.3425986591694805,-9.400060228918658,-8.479585701489643,-11.401060973026766,-5.6367674061059265,-6.859691437799086,-7.907748208647888,-1000,-6.41223675625434,-11.318098058546427,-13.494512250860053,-12.779702359258854,-11.448089216798474,-14.058962234597262,-7.599754239789686,-6.991161159137789,-10.22525472859981,-1000,-1000,-11.552427138110222,-7.396644765423174,-12.286967202276209,-9.436074038682642,-4.741408071188504,-5.287586258602165,-5.1673358886528575,-5.382917653832187,-6.933293379654329,-1000,-5.906351854952269,-6.352201950574982,-6.81474050433378,-4.649074658346424,-3.7278879465563826,-1000,-4.392321574431473,-1000,-6.654984437378238,-7.930701685078015,-6.513921167346021,-5.016514009342246,-5.693366670277165,-5.39813475790174,-9.442626873039247,-3.6755238735310245,-8.008652180448564,-6.649313779260993,-7.591487162363053,-1000,-6.977933348769561,-5.885643059810248,-6.541873176950653,-5.947973723234134,-5.926515437501513,-1000,-7.310785557307344,-8.245256127665291,-4.6086969731185095,-2.778982207433019,-3.8187643671427,-2.775095803671264,-3.903869514538915,-3.001554359483737,-3.85734098257435,-1000,-2.662745528777469,-3.3828113311341346,-1.9626738441608758,-3.481561481466032,-2.733484456381804,-2.7031092975752635,-2.715870862761961,-3.2706308209042443,-1000,-2.7600559387233377,-1000,-1000,-6.473172656894938,-7.008449611260627,-6.535078237227573,-6.925562273740105,-5.1274272926837785,-4.754273736975725,-1000,-8.243780341311508,-7.304390824671698,-6.964779918477484,-7.760997654369118,-5.941054038740394,-10.233892219453828,-7.8462519470718055,-5.70009985811323,-5.166949699383374
-2.7996269537011362,-3.3902368689914604,-4.768276895495051,-3.1566675954210326,-2.656870786649871,-2.956124470716217,-4.430040379889105,-2.216681436129323,-6.256609134488356,-5.140631739189098,-1000,-6.3509778543023305,-5.117374140147618,-6.958268493462835,-5.863760221866528,-5.964749270788524,-6.067792242991889,-7.323643725483783,-6.050906624611334,-7.9684938481715735,-1000,-1000,-6.269774354511034,-3.688266163788753,-6.558830843723029,-6.121569792822646,-4.568082837905035,-4.838609779416534,-3.7624209077292856,-4.389148101508697,-3.847430194383947,-1000,-4.201203048942462,-3.686580286404194,-3.163586866847622,-5.794316448732247,-6.639483305141408,-1000,-4.989879841854988,-1000,-3.7300394422365972,-4.880312728404129,-3.7463163730434075,-4.617055783510597,-4.498291863893965,-4.946552621125081,-4.318041175188864,-4.0313463041676565,-6.395954395019484,-5.309509966731882,-5.691407441971612,-1000,-5.991584807582089,-5.405451095141431,-5.5225451331678155,-5.717805849878072,-5.252715693054422,-1000,-5.0617312731164414,-5.559293415161494,-4.702639457661202,-4.255427438718207,-5.473683625248391,-5.010944099811253,-3.9879340081709302,-6.275775967032265,-6.7814230187420526,-1000,-6.8652914236178315,-5.850350090168983,-1000,-5.804931145781803,-6.261606314368386,-4.944056249912099,-5.623738216821224,-5.5756369400597485,-1000,-5.1431409587741275,-2.2918392073928557,-1000,-6.122200806258249,-7.168906032526972,-5.7742820400757005,-7.087861556709349,-6.949162998997378,-7.822443554022396,-1000,-8.153587848209579,-8.506255913512641,-3.8177677455736223,-9.674719024071443,-7.104105877870862,-6.4406497845504465,-6.036140712790478,-6.285062222975432,-4.956853376778485
-7.211827042723446,-6.2141832558347225,-9.70846908557716,-3.7452530234099317,-6.968982192336005,-6.153674314516945,-11.126622653646406,-3.8847204611795263,-5.352887429489365,-7.018487280531919,-1000,-5.166037996421051,-9.978010183658709,-9.79968281601749,-9.480991868540546,-10.904391332739532,-9.512100468880963,-6.646370247005284,-6.646579150883688,-9.69495647342173,-1000,-1000,-8.83206039428803,-4.445614964158986,-10.364035408247439,-7.14336307895249,-2.736597357897549,-4.412071555426275,-6.377343971608481,-3.2953270726364625,-5.861068017536009,-1000,-7.627404025411019,-4.540823978584341,-3.17112635589258,-2.917436198428538,-3.4499111097804347,-1000,-2.9250756270895413,-1000,-6.915077648301311,-10.316660478492668,-6.4408908081072545,-5.474314832389693,-6.3800279819657195,-2.4917941864920534,-7.5367944746343,-3.7515994073918053,-6.318599314494083,-5.17135514084089,-6.315834699839636,-1000,-5.711244538266342,-5.88591170789564,-6.301200234658749,-5.101875578098499,-4.494458959224006,-1000,-6.221671699095353,-6.163944494848238,-3.899684249493617,-5.024359830720206,-5.497225251400001,-4.35010224672345,-6.209514221701301,-4.83795147141469,-4.814974213525624,-1.1319314504649174,-4.315772130422625,-4.760748839388229,-1000,-6.2481932868486245,-5.174787585977575,-5.712511920825771,-4.951401103565319,-5.005711847245544,-1000,-5.050877976973248,-1000,-1000,-8.469947060091783,-7.009418224261872,-6.975910061559312,-7.7458095312483985,-6.265570942263682,-5.749115677745742,-1000,-8.667339318350264,-8.081910650647348,-5.578894064592292,-7.933823401723099,-5.916889685428766,-9.174076281986705,-8.160363961604114,-6.13570454261556,-5.70588155108003
-4.798798240391827,-4.460981705945314,-5.551811794475769,-5.936480269564823,-5.222520357316662,-4.33815612463984,-5.773532540616907,-4.761251615430098,-6.688764504314395,-5.720620860386833,-1000,-6.893453045834605,-6.173726786808534,-8.490377673175942,-6.165921196498364,-6.950814104687192,-7.439785121968949,-7.903928596290926,-6.280156283519427,-8.735388620226935,-1000,-1000,-7.254398262405834,-5.573728991366531,-7.698825734277051,-6.735774240649526,-3.0552618966980605,-2.7951824367089575,-3.7320645008192384,-3.7905224518835996,-2.353546643499828,-1.6795233360472361,-3.6724804927383086,-2.76407726013914,-5.626470454264036,-3.8982230577268386,-3.978871992563238,-1000,-4.1116989596198215,-1000,-2.211036420882249,-4.3426929325084584,-3.410662212510897,-4.889207024957968,-4.407229600633095,-6.1590806959170825,-4.62647938187114,-4.990037025956367,-7.984401064679644,-6.239149406873259,-6.61040201466966,-1000,-6.648515736950775,-5.633395803141939,-6.063554846115017,-6.8523316025054,-6.913404655773632,-1000,-5.538975961723167,-6.54577783957859,-5.8998710985870355,-3.830784461405286,-5.303364961298665,-4.829504228697626,-3.9175170608199603,-5.714233018347052,-6.792281727261083,-1000,-6.483756208621944,-5.879640941112987,-1000,-5.543989482028047,-6.201693217957953,-4.81188845225232,-4.9984652958645945,-5.760757886407326,-1000,-5.045847305681753,-1000,-1000,-6.151927583013006,-8.075173017931446,-5.437015477504708,-7.105163085328066,-6.430330888937025,-8.324723830782949,-1000,-9.453981049168691,-8.014514981609924,-4.767803490383169,-11.216582456263481,-7.905460496700529,-6.515342412871467,-6.266627253276042,-6.74510742244189,-4.845384805532838
-4.594804864033553,-4.494584927007863,-5.657325595905726,-5.152828492267568,-4.559973818476635,-4.507423526278545,-5.778391235179311,-3.6107476008013375,-5.957403507330863,-5.5130346440001565,-1000,-5.904469510135369,-6.350002850085558,-8.145562423106481,-7.025914507527783,-6.536203656097423,-7.477580020807765,-7.323904619213353,-5.840691612652033,-8.12136562855614,-1000,-1000,-7.220971584816351,-5.191518574490988,-6.950563207902923,-6.300333930889197,-4.3751274772379745,-4.641192430779817,-3.832260023514886,-4.256748154977699,-4.172915579288365,-1000,-4.500736617391071,-3.9194251567906986,-4.772123204355605,-5.825659873074064,-6.571545908926491,-1000,-4.927754868252536,-1000,-4.025004997937464,-5.152615199649457,-3.914895555740587,-4.067932423843003,-4.583735838781771,-5.787383025776673,-4.643100216539457,-3.357524049039318,-6.590474413884177,-5.7185645684580075,-5.949014469408934,-1000,-5.643295466883993,-5.5498274485673,-5.61263360338886,-6.183313263063353,-5.633128967789304,-0.9882501449334463,-5.344492320254973,-5.522220106755104,-4.215178457615948,-3.347489047658224,-4.8031832559141545,-4.073067205678078,-3.469221208691212,-5.307442875379091,-6.120167037912218,-1000,-5.751992582666229,-4.824066671132952,-1000,-5.0161785990582555,-5.454601296008355,-4.599818037416415,-4.508534845945208,-4.446743835276312,-1000,-4.025060708867252,-1000,-1000,-5.447735689945537,-7.105986460407819,-4.881023644337671,-5.87549033170945,-6.219004260989081,-6.750870659137424,-1000,-7.709978838361613,-7.210342751234974,-5.085158002791469,-9.217591412099633,-6.635777587466275,-5.866108820420784,-5.934137369554622,-5.096992975940162,-4.051241700010153
