,ind,variable,value
0,0,PD10010,37.0
1,1,PD10010,25.0
2,2,PD10010,8.0
3,3,PD10010,24.0
4,4,PD10010,34.0
5,5,PD10010,28.0
6,6,PD10010,8.0
7,7,PD10010,23.0
8,8,PD10010,31.0
9,9,PD10010,22.0
10,10,PD10010,11.0
11,11,PD10010,22.0
12,12,PD10010,40.0
13,13,PD10010,40.0
14,14,PD10010,12.0
15,15,PD10010,48.0
16,16,PD10010,35.0
17,17,PD10010,5.0
18,18,PD10010,16.0
19,19,PD10010,25.0
20,20,PD10010,15.0
21,21,PD10010,19.0
22,22,PD10010,20.0
23,23,PD10010,26.0
24,24,PD10010,6.0
25,25,PD10010,12.0
26,26,PD10010,9.0
27,27,PD10010,14.0
28,28,PD10010,54.0
29,29,PD10010,37.0
30,30,PD10010,12.0
31,31,PD10010,85.0
32,32,PD10010,49.0
33,33,PD10010,31.0
34,34,PD10010,100.0
35,35,PD10010,42.0
36,36,PD10010,48.0
37,37,PD10010,37.0
38,38,PD10010,55.0
39,39,PD10010,43.0
40,40,PD10010,40.0
41,41,PD10010,32.0
42,42,PD10010,82.0
43,43,PD10010,25.0
44,44,PD10010,67.0
45,45,PD10010,55.0
46,46,PD10010,53.0
47,47,PD10010,71.0
48,48,PD10010,21.0
49,49,PD10010,15.0
50,50,PD10010,17.0
51,51,PD10010,30.0
52,52,PD10010,12.0
53,53,PD10010,7.0
54,54,PD10010,18.0
55,55,PD10010,16.0
56,56,PD10010,6.0
57,57,PD10010,6.0
58,58,PD10010,6.0
59,59,PD10010,13.0
60,60,PD10010,39.0
61,61,PD10010,13.0
62,62,PD10010,3.0
63,63,PD10010,35.0
64,64,PD10010,48.0
65,65,PD10010,20.0
66,66,PD10010,29.0
67,67,PD10010,44.0
68,68,PD10010,14.0
69,69,PD10010,17.0
70,70,PD10010,20.0
71,71,PD10010,30.0
72,72,PD10010,22.0
73,73,PD10010,9.0
74,74,PD10010,16.0
75,75,PD10010,24.0
76,76,PD10010,19.0
77,77,PD10010,13.0
78,78,PD10010,11.0
79,79,PD10010,25.0
80,80,PD10010,8.0
81,81,PD10010,6.0
82,82,PD10010,10.0
83,83,PD10010,23.0
84,84,PD10010,6.0
85,85,PD10010,8.0
86,86,PD10010,5.0
87,87,PD10010,13.0
88,88,PD10010,7.0
89,89,PD10010,1.0
90,90,PD10010,8.0
91,91,PD10010,10.0
92,92,PD10010,18.0
93,93,PD10010,11.0
94,94,PD10010,11.0
95,95,PD10010,35.0
96,0,PD10011,103.0
97,1,PD10011,59.0
98,2,PD10011,16.0
99,3,PD10011,73.0
100,4,PD10011,105.0
101,5,PD10011,75.0
102,6,PD10011,30.0
103,7,PD10011,102.0
104,8,PD10011,78.0
105,9,PD10011,50.0
106,10,PD10011,14.0
107,11,PD10011,55.0
108,12,PD10011,78.0
109,13,PD10011,80.0
110,14,PD10011,12.0
111,15,PD10011,83.0
112,16,PD10011,113.0
113,17,PD10011,54.0
114,18,PD10011,31.0
115,19,PD10011,102.0
116,20,PD10011,60.0
117,21,PD10011,37.0
118,22,PD10011,22.0
119,23,PD10011,65.0
120,24,PD10011,55.0
121,25,PD10011,66.0
122,26,PD10011,13.0
123,27,PD10011,87.0
124,28,PD10011,116.0
125,29,PD10011,104.0
126,30,PD10011,29.0
127,31,PD10011,194.0
128,32,PD10011,116.0
129,33,PD10011,73.0
130,34,PD10011,228.0
131,35,PD10011,109.0
132,36,PD10011,71.0
133,37,PD10011,52.0
134,38,PD10011,108.0
135,39,PD10011,103.0
136,40,PD10011,76.0
137,41,PD10011,63.0
138,42,PD10011,118.0
139,43,PD10011,81.0
140,44,PD10011,119.0
141,45,PD10011,94.0
142,46,PD10011,78.0
143,47,PD10011,126.0
144,48,PD10011,61.0
145,49,PD10011,70.0
146,50,PD10011,56.0
147,51,PD10011,165.0
148,52,PD10011,116.0
149,53,PD10011,80.0
150,54,PD10011,89.0
151,55,PD10011,103.0
152,56,PD10011,69.0
153,57,PD10011,41.0
154,58,PD10011,56.0
155,59,PD10011,86.0
156,60,PD10011,121.0
157,61,PD10011,43.0
158,62,PD10011,64.0
159,63,PD10011,91.0
160,64,PD10011,184.0
161,65,PD10011,116.0
162,66,PD10011,113.0
163,67,PD10011,169.0
164,68,PD10011,103.0
165,69,PD10011,78.0
166,70,PD10011,102.0
167,71,PD10011,158.0
168,72,PD10011,96.0
169,73,PD10011,62.0
170,74,PD10011,82.0
171,75,PD10011,93.0
172,76,PD10011,125.0
173,77,PD10011,79.0
174,78,PD10011,83.0
175,79,PD10011,113.0
176,80,PD10011,77.0
177,81,PD10011,41.0
178,82,PD10011,73.0
179,83,PD10011,105.0
180,84,PD10011,40.0
181,85,PD10011,65.0
