,PD4841,PD4844,PD4845,PD4847,PD4872,PD4874,PD4875,PD4876,PD4951,PD4952,PD4953,PD4954,PD4955,PD4956,PD4957,PD4958,PD4959,PD4962,PD4965,PD4967,PD4968,PD4969,PD4970,PD4971,PD4972,PD4975,PD4976,PD4977,PD4978,PD4980,PD4981,PD4982,PD4983,PD4985,PD4986,PD5925,PD5928,PD5930,PD5932,PD5934,PD5935,PD5936,PD5937,PD5942,PD5944,PD5945,PD5946,PD5947,PD5948,PD5950,PD5951,PD5953,PD5956,PD5959,PD5960,PD5961
0,137.0,205.0,119.0,226.0,80.0,150.0,142.0,100.0,62.0,211.0,139.0,102.0,134.0,184.0,67.0,133.0,98.0,89.0,56.0,30.0,59.0,14.0,40.0,53.0,25.0,118.0,103.0,95.0,53.0,92.0,36.0,21.0,16.0,23.0,39.0,144.0,156.0,74.0,144.0,254.0,126.0,47.0,100.0,109.0,47.0,162.0,73.0,29.0,218.0,33.0,46.0,32.0,108.0,33.0,56.0,36.0
1,102.0,183.0,80.0,163.0,72.0,123.0,113.0,74.0,43.0,189.0,99.0,87.0,111.0,193.0,52.0,148.0,87.0,70.0,39.0,35.0,64.0,12.0,35.0,35.0,13.0,108.0,66.0,78.0,48.0,72.0,26.0,25.0,10.0,26.0,26.0,121.0,143.0,56.0,117.0,251.0,140.0,49.0,129.0,78.0,42.0,166.0,37.0,25.0,184.0,23.0,50.0,29.0,89.0,27.0,75.0,34.0
2,22.0,46.0,20.0,22.0,6.0,28.0,22.0,12.0,5.0,36.0,19.0,19.0,13.0,34.0,10.0,24.0,11.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,2.0,14.0,14.0,18.0,5.0,9.0,4.0,8.0,6.0,11.0,3.0,19.0,25.0,5.0,15.0,28.0,23.0,7.0,16.0,14.0,4.0,19.0,5.0,5.0,24.0,5.0,13.0,7.0,12.0,6.0,10.0,5.0
3,107.0,183.0,100.0,126.0,80.0,114.0,91.0,64.0,34.0,158.0,103.0,82.0,107.0,157.0,44.0,152.0,60.0,61.0,29.0,25.0,34.0,8.0,27.0,44.0,14.0,105.0,55.0,72.0,33.0,47.0,12.0,10.0,12.0,18.0,17.0,120.0,124.0,70.0,112.0,247.0,116.0,35.0,193.0,55.0,20.0,153.0,38.0,8.0,231.0,29.0,21.0,17.0,79.0,17.0,43.0,16.0
4,109.0,198.0,101.0,198.0,68.0,135.0,110.0,61.0,57.0,200.0,118.0,100.0,104.0,175.0,61.0,203.0,84.0,54.0,50.0,28.0,45.0,16.0,22.0,37.0,19.0,107.0,100.0,106.0,41.0,89.0,28.0,16.0,15.0,30.0,30.0,132.0,129.0,48.0,153.0,246.0,161.0,33.0,548.0,72.0,25.0,165.0,64.0,21.0,244.0,31.0,29.0,32.0,108.0,18.0,67.0,27.0
5,91.0,170.0,71.0,138.0,66.0,125.0,101.0,69.0,47.0,205.0,115.0,90.0,105.0,166.0,50.0,184.0,79.0,45.0,16.0,21.0,27.0,9.0,23.0,27.0,6.0,120.0,63.0,50.0,25.0,45.0,16.0,13.0,13.0,17.0,25.0,131.0,102.0,54.0,118.0,207.0,134.0,25.0,843.0,65.0,26.0,145.0,31.0,9.0,185.0,21.0,29.0,19.0,76.0,23.0,66.0,18.0
6,26.0,23.0,8.0,35.0,8.0,33.0,18.0,11.0,4.0,40.0,15.0,18.0,14.0,33.0,7.0,28.0,7.0,9.0,5.0,2.0,10.0,3.0,2.0,10.0,2.0,35.0,18.0,14.0,5.0,14.0,3.0,2.0,4.0,3.0,7.0,25.0,15.0,7.0,29.0,29.0,24.0,4.0,143.0,21.0,9.0,18.0,10.0,0.0,35.0,4.0,13.0,7.0,5.0,4.0,9.0,0.0
7,107.0,167.0,83.0,231.0,83.0,108.0,121.0,58.0,39.0,208.0,109.0,83.0,105.0,145.0,46.0,181.0,75.0,71.0,24.0,23.0,53.0,8.0,34.0,31.0,11.0,83.0,98.0,88.0,26.0,86.0,13.0,19.0,19.0,17.0,29.0,133.0,114.0,53.0,125.0,223.0,105.0,19.0,2495.0,60.0,23.0,162.0,48.0,12.0,212.0,15.0,25.0,19.0,70.0,9.0,80.0,28.0
8,81.0,147.0,74.0,190.0,47.0,79.0,102.0,47.0,26.0,134.0,95.0,53.0,77.0,98.0,43.0,84.0,45.0,51.0,42.0,26.0,35.0,21.0,25.0,28.0,23.0,87.0,96.0,108.0,29.0,90.0,26.0,20.0,19.0,29.0,12.0,97.0,97.0,54.0,72.0,150.0,91.0,33.0,72.0,62.0,30.0,90.0,74.0,21.0,156.0,50.0,43.0,29.0,85.0,25.0,52.0,42.0
9,82.0,119.0,54.0,80.0,36.0,57.0,78.0,47.0,20.0,110.0,82.0,67.0,70.0,112.0,25.0,106.0,38.0,43.0,23.0,9.0,25.0,8.0,12.0,27.0,9.0,83.0,41.0,47.0,23.0,46.0,17.0,14.0,14.0,18.0,21.0,75.0,83.0,34.0,99.0,129.0,67.0,23.0,121.0,42.0,29.0,91.0,40.0,12.0,125.0,21.0,28.0,17.0,65.0,14.0,48.0,20.0
10,10.0,21.0,12.0,26.0,6.0,23.0,10.0,9.0,8.0,20.0,13.0,13.0,11.0,21.0,1.0,16.0,8.0,4.0,5.0,4.0,12.0,2.0,11.0,12.0,3.0,14.0,12.0,17.0,9.0,11.0,4.0,4.0,4.0,7.0,2.0,18.0,10.0,5.0,14.0,16.0,12.0,13.0,25.0,18.0,7.0,11.0,16.0,4.0,24.0,8.0,9.0,4.0,14.0,6.0,12.0,6.0
11,67.0,155.0,61.0,168.0,56.0,80.0,85.0,50.0,30.0,124.0,78.0,42.0,70.0,106.0,36.0,97.0,60.0,48.0,25.0,13.0,30.0,14.0,16.0,30.0,9.0,64.0,80.0,64.0,16.0,61.0,18.0,14.0,9.0,13.0,7.0,91.0,84.0,34.0,78.0,147.0,83.0,22.0,316.0,51.0,21.0,91.0,47.0,21.0,141.0,29.0,23.0,18.0,64.0,16.0,45.0,30.0
12,108.0,184.0,75.0,224.0,66.0,250.0,133.0,80.0,41.0,206.0,144.0,92.0,104.0,175.0,55.0,188.0,74.0,236.0,44.0,75.0,79.0,18.0,24.0,40.0,17.0,92.0,122.0,1153.0,91.0,108.0,40.0,30.0,29.0,21.0,24.0,157.0,135.0,62.0,185.0,157.0,133.0,39.0,1257.0,111.0,48.0,150.0,66.0,35.0,175.0,46.0,57.0,31.0,129.0,24.0,79.0,51.0
13,93.0,192.0,83.0,132.0,80.0,175.0,102.0,67.0,44.0,181.0,123.0,109.0,114.0,225.0,40.0,156.0,69.0,109.0,54.0,43.0,57.0,13.0,44.0,37.0,22.0,106.0,109.0,505.0,62.0,81.0,20.0,25.0,27.0,26.0,18.0,149.0,119.0,70.0,206.0,176.0,141.0,50.0,627.0,121.0,37.0,125.0,77.0,32.0,157.0,27.0,53.0,38.0,90.0,28.0,85.0,34.0
14,16.0,22.0,14.0,39.0,5.0,19.0,16.0,8.0,2.0,22.0,21.0,11.0,12.0,26.0,7.0,20.0,6.0,17.0,11.0,7.0,9.0,5.0,4.0,3.0,4.0,18.0,24.0,99.0,12.0,17.0,6.0,3.0,3.0,5.0,7.0,14.0,11.0,5.0,14.0,21.0,22.0,10.0,98.0,23.0,13.0,11.0,16.0,8.0,16.0,6.0,7.0,7.0,24.0,5.0,11.0,10.0
15,120.0,236.0,124.0,405.0,100.0,207.0,145.0,99.0,40.0,268.0,189.0,106.0,178.0,207.0,66.0,230.0,97.0,190.0,60.0,67.0,87.0,25.0,35.0,62.0,16.0,124.0,199.0,799.0,86.0,156.0,41.0,31.0,19.0,33.0,33.0,165.0,146.0,84.0,169.0,205.0,168.0,59.0,1133.0,146.0,69.0,163.0,112.0,45.0,240.0,84.0,61.0,28.0,155.0,34.0,59.0,62.0
16,81.0,220.0,64.0,113.0,38.0,83.0,93.0,79.0,26.0,161.0,81.0,80.0,51.0,182.0,34.0,94.0,56.0,29.0,17.0,28.0,25.0,9.0,16.0,30.0,8.0,131.0,62.0,99.0,13.0,42.0,9.0,8.0,17.0,15.0,14.0,136.0,101.0,55.0,141.0,191.0,159.0,18.0,144.0,97.0,22.0,157.0,29.0,11.0,303.0,9.0,13.0,17.0,10.0,18.0,45.0,10.0
17,48.0,103.0,39.0,61.0,40.0,54.0,51.0,39.0,22.0,68.0,64.0,48.0,46.0,116.0,14.0,68.0,44.0,22.0,7.0,20.0,16.0,4.0,15.0,7.0,6.0,81.0,36.0,33.0,9.0,20.0,10.0,7.0,10.0,12.0,18.0,64.0,55.0,42.0,71.0,109.0,91.0,11.0,56.0,57.0,16.0,77.0,21.0,3.0,157.0,20.0,14.0,13.0,16.0,6.0,28.0,9.0
18,44.0,60.0,28.0,33.0,9.0,51.0,31.0,8.0,5.0,38.0,21.0,13.0,15.0,81.0,10.0,22.0,13.0,5.0,4.0,7.0,1.0,3.0,6.0,10.0,0.0,28.0,16.0,13.0,9.0,11.0,2.0,2.0,8.0,5.0,3.0,43.0,22.0,12.0,28.0,68.0,55.0,3.0,10.0,18.0,4.0,43.0,9.0,2.0,52.0,7.0,3.0,0.0,4.0,1.0,7.0,5.0
19,79.0,197.0,80.0,99.0,54.0,114.0,87.0,94.0,32.0,151.0,100.0,88.0,61.0,209.0,32.0,113.0,46.0,39.0,16.0,16.0,18.0,9.0,18.0,24.0,9.0,129.0,55.0,121.0,19.0,34.0,13.0,5.0,14.0,15.0,21.0,114.0,76.0,64.0,165.0,203.0,159.0,20.0,139.0,93.0,13.0,171.0,24.0,10.0,312.0,15.0,25.0,12.0,18.0,23.0,39.0,8.0
20,63.0,145.0,54.0,51.0,35.0,86.0,55.0,58.0,25.0,119.0,82.0,77.0,51.0,157.0,31.0,89.0,28.0,37.0,18.0,19.0,13.0,5.0,14.0,19.0,6.0,87.0,39.0,97.0,25.0,24.0,2.0,7.0,10.0,9.0,8.0,99.0,71.0,55.0,126.0,134.0,114.0,11.0,99.0,35.0,5.0,105.0,20.0,6.0,200.0,7.0,13.0,8.0,21.0,9.0,36.0,5.0
21,55.0,120.0,50.0,53.0,43.0,52.0,60.0,60.0,25.0,98.0,65.0,48.0,56.0,145.0,28.0,91.0,38.0,26.0,15.0,7.0,15.0,5.0,14.0,9.0,8.0,82.0,29.0,29.0,13.0,20.0,5.0,9.0,6.0,13.0,12.0,74.0,64.0,35.0,91.0,107.0,99.0,8.0,54.0,40.0,12.0,71.0,19.0,11.0,155.0,5.0,19.0,16.0,24.0,13.0,31.0,6.0
