,PD9002,PD9004,PD9009,PD9063,PD9064,PD9065,PD9067,PD9193,PD9464,PD9467,PD9539,PD9541,PD9544,PD9567,PD9568,PD9569,PD9570,PD9571,PD9572,PD9573,PD9574,PD9575,PD9576,PD9577,PD9578,PD9579,PD9581,PD9582c,PD9584,PD9585,PD9589,PD9591,PD9592,PD9593,PD9595,PD9597,PD9599,PD9600,PD9604,PD9605,PD9606,PD9694,PD9696,PD9702,PD9752,PD9754,PD9755,PD9756,PD9759,PD9760,PD9761,PD9842,PD9843,PD9844,PD9845,PD9847
0,145.0,155.0,97.0,52.0,219.0,61.0,18.0,26.0,108.0,44.0,60.0,32.0,22.0,65.0,499.0,42.0,21.0,81.0,36.0,30.0,30.0,93.0,301.0,29.0,15.0,36.0,26.0,55.0,35.0,195.0,28.0,17.0,167.0,26.0,185.0,11.0,47.0,38.0,52.0,68.0,27.0,31.0,76.0,135.0,72.0,39.0,30.0,39.0,38.0,70.0,36.0,36.0,32.0,18.0,40.0,41.0
1,120.0,146.0,97.0,47.0,212.0,27.0,16.0,24.0,90.0,40.0,59.0,26.0,21.0,47.0,471.0,24.0,18.0,51.0,38.0,24.0,27.0,74.0,273.0,25.0,11.0,31.0,23.0,40.0,50.0,192.0,21.0,16.0,123.0,27.0,170.0,13.0,28.0,40.0,47.0,44.0,13.0,12.0,95.0,87.0,51.0,33.0,18.0,24.0,25.0,66.0,35.0,21.0,30.0,6.0,39.0,31.0
2,9.0,25.0,5.0,5.0,32.0,6.0,5.0,4.0,11.0,7.0,5.0,3.0,3.0,7.0,90.0,4.0,5.0,12.0,6.0,5.0,8.0,15.0,39.0,2.0,3.0,2.0,0.0,7.0,6.0,24.0,4.0,3.0,19.0,3.0,29.0,3.0,7.0,10.0,13.0,12.0,1.0,9.0,13.0,26.0,9.0,5.0,2.0,6.0,5.0,15.0,6.0,3.0,2.0,1.0,9.0,8.0
3,116.0,124.0,80.0,33.0,218.0,25.0,13.0,17.0,67.0,30.0,35.0,36.0,12.0,44.0,440.0,21.0,11.0,53.0,32.0,19.0,28.0,54.0,336.0,25.0,10.0,15.0,22.0,20.0,25.0,170.0,9.0,11.0,160.0,16.0,165.0,6.0,24.0,19.0,30.0,43.0,8.0,16.0,107.0,102.0,25.0,20.0,13.0,25.0,19.0,57.0,21.0,27.0,27.0,3.0,25.0,22.0
4,169.0,166.0,83.0,79.0,255.0,53.0,15.0,25.0,85.0,20.0,38.0,32.0,17.0,50.0,463.0,26.0,24.0,41.0,38.0,17.0,20.0,68.0,314.0,23.0,12.0,15.0,17.0,42.0,31.0,204.0,17.0,13.0,125.0,28.0,167.0,4.0,40.0,27.0,51.0,59.0,7.0,23.0,126.0,146.0,42.0,28.0,20.0,21.0,16.0,80.0,33.0,31.0,27.0,5.0,17.0,16.0
5,98.0,157.0,65.0,47.0,252.0,19.0,13.0,15.0,51.0,31.0,34.0,25.0,8.0,42.0,420.0,17.0,9.0,40.0,36.0,8.0,17.0,50.0,302.0,23.0,6.0,18.0,11.0,41.0,16.0,180.0,11.0,11.0,131.0,14.0,151.0,9.0,26.0,16.0,73.0,37.0,21.0,18.0,95.0,110.0,24.0,14.0,26.0,20.0,13.0,43.0,20.0,30.0,16.0,5.0,25.0,22.0
6,24.0,33.0,16.0,7.0,33.0,6.0,1.0,4.0,9.0,6.0,2.0,5.0,4.0,14.0,73.0,6.0,1.0,10.0,6.0,4.0,2.0,15.0,50.0,4.0,0.0,5.0,3.0,10.0,6.0,23.0,3.0,3.0,15.0,3.0,34.0,0.0,10.0,5.0,31.0,11.0,3.0,4.0,18.0,19.0,8.0,4.0,2.0,8.0,5.0,10.0,1.0,2.0,4.0,2.0,4.0,4.0
7,200.0,163.0,90.0,50.0,221.0,30.0,10.0,25.0,65.0,22.0,30.0,17.0,7.0,43.0,439.0,17.0,15.0,43.0,43.0,15.0,17.0,47.0,304.0,18.0,9.0,17.0,10.0,37.0,28.0,163.0,12.0,7.0,143.0,17.0,166.0,11.0,22.0,23.0,154.0,41.0,14.0,19.0,90.0,91.0,36.0,11.0,17.0,21.0,15.0,45.0,22.0,17.0,15.0,10.0,20.0,21.0
8,124.0,74.0,60.0,33.0,142.0,87.0,23.0,50.0,97.0,33.0,48.0,40.0,17.0,50.0,249.0,9.0,12.0,41.0,27.0,19.0,20.0,51.0,205.0,10.0,23.0,17.0,22.0,38.0,40.0,123.0,20.0,21.0,91.0,23.0,128.0,13.0,44.0,23.0,25.0,70.0,22.0,32.0,78.0,89.0,37.0,33.0,24.0,27.0,35.0,59.0,46.0,42.0,40.0,8.0,33.0,30.0
9,70.0,124.0,55.0,32.0,154.0,12.0,11.0,21.0,53.0,6.0,36.0,23.0,7.0,27.0,305.0,11.0,14.0,37.0,15.0,16.0,13.0,39.0,185.0,14.0,15.0,18.0,12.0,21.0,29.0,110.0,14.0,11.0,97.0,15.0,114.0,5.0,23.0,15.0,27.0,32.0,9.0,12.0,59.0,61.0,32.0,24.0,15.0,18.0,25.0,33.0,24.0,32.0,18.0,7.0,26.0,24.0
10,15.0,15.0,12.0,18.0,24.0,12.0,4.0,5.0,17.0,4.0,7.0,3.0,2.0,7.0,40.0,3.0,7.0,14.0,6.0,6.0,2.0,20.0,25.0,2.0,4.0,3.0,4.0,6.0,8.0,22.0,5.0,2.0,11.0,4.0,22.0,3.0,8.0,5.0,10.0,14.0,4.0,4.0,15.0,12.0,7.0,2.0,3.0,5.0,4.0,11.0,6.0,6.0,4.0,4.0,9.0,12.0
11,108.0,75.0,41.0,27.0,131.0,53.0,19.0,18.0,65.0,25.0,30.0,24.0,9.0,32.0,269.0,18.0,12.0,40.0,31.0,15.0,15.0,51.0,209.0,14.0,9.0,13.0,13.0,28.0,24.0,133.0,13.0,8.0,102.0,12.0,122.0,9.0,25.0,14.0,35.0,47.0,11.0,17.0,65.0,69.0,30.0,10.0,9.0,21.0,24.0,48.0,24.0,25.0,23.0,10.0,16.0,24.0
12,150.0,179.0,433.0,1426.0,187.0,72.0,26.0,28.0,106.0,48.0,56.0,38.0,22.0,71.0,581.0,35.0,24.0,66.0,116.0,18.0,27.0,99.0,247.0,24.0,9.0,15.0,20.0,54.0,36.0,199.0,20.0,20.0,137.0,25.0,161.0,54.0,62.0,36.0,48.0,57.0,13.0,27.0,96.0,131.0,50.0,36.0,22.0,81.0,31.0,80.0,31.0,52.0,45.0,9.0,35.0,38.0
13,136.0,149.0,165.0,582.0,213.0,45.0,23.0,35.0,98.0,58.0,52.0,39.0,22.0,43.0,529.0,29.0,21.0,49.0,48.0,18.0,16.0,84.0,235.0,22.0,14.0,21.0,32.0,54.0,44.0,179.0,20.0,20.0,120.0,32.0,128.0,33.0,53.0,31.0,42.0,59.0,18.0,32.0,102.0,120.0,67.0,25.0,13.0,59.0,33.0,65.0,40.0,45.0,31.0,12.0,48.0,48.0
14,23.0,19.0,31.0,86.0,19.0,10.0,3.0,3.0,20.0,13.0,18.0,14.0,6.0,12.0,63.0,9.0,7.0,17.0,14.0,3.0,4.0,14.0,20.0,1.0,3.0,6.0,6.0,5.0,5.0,21.0,4.0,4.0,14.0,6.0,17.0,7.0,7.0,7.0,11.0,10.0,4.0,11.0,16.0,14.0,9.0,7.0,3.0,9.0,6.0,18.0,9.0,11.0,1.0,3.0,7.0,8.0
15,295.0,221.0,223.0,710.0,212.0,117.0,27.0,60.0,149.0,46.0,66.0,41.0,37.0,85.0,565.0,42.0,26.0,81.0,72.0,16.0,31.0,106.0,289.0,30.0,26.0,30.0,25.0,56.0,58.0,191.0,30.0,19.0,137.0,44.0,175.0,35.0,68.0,29.0,86.0,112.0,22.0,40.0,112.0,148.0,70.0,43.0,24.0,87.0,37.0,92.0,43.0,59.0,47.0,16.0,45.0,41.0
16,70.0,139.0,83.0,95.0,152.0,9.0,14.0,24.0,42.0,13.0,16.0,29.0,5.0,24.0,408.0,19.0,4.0,70.0,24.0,7.0,7.0,49.0,251.0,12.0,8.0,11.0,22.0,22.0,27.0,123.0,2.0,6.0,175.0,9.0,140.0,7.0,16.0,14.0,36.0,14.0,10.0,8.0,70.0,141.0,18.0,13.0,13.0,12.0,14.0,60.0,14.0,22.0,18.0,6.0,23.0,12.0
17,59.0,87.0,49.0,34.0,82.0,11.0,4.0,24.0,27.0,8.0,17.0,15.0,6.0,19.0,251.0,13.0,10.0,39.0,14.0,10.0,7.0,52.0,157.0,12.0,5.0,16.0,9.0,18.0,16.0,68.0,2.0,6.0,88.0,11.0,88.0,4.0,16.0,14.0,28.0,16.0,7.0,16.0,40.0,62.0,20.0,3.0,7.0,12.0,13.0,23.0,8.0,18.0,12.0,2.0,18.0,18.0
18,23.0,44.0,20.0,7.0,23.0,2.0,3.0,1.0,8.0,4.0,3.0,2.0,0.0,5.0,109.0,3.0,1.0,31.0,4.0,2.0,4.0,16.0,55.0,1.0,2.0,1.0,1.0,4.0,2.0,24.0,4.0,1.0,29.0,0.0,36.0,3.0,10.0,3.0,17.0,10.0,3.0,4.0,26.0,46.0,3.0,5.0,4.0,3.0,4.0,10.0,2.0,4.0,4.0,0.0,4.0,2.0
19,78.0,164.0,68.0,113.0,158.0,3.0,8.0,19.0,28.0,7.0,23.0,20.0,6.0,30.0,490.0,18.0,7.0,58.0,35.0,12.0,15.0,100.0,297.0,12.0,12.0,10.0,13.0,25.0,20.0,111.0,11.0,7.0,182.0,15.0,149.0,15.0,15.0,22.0,38.0,22.0,3.0,13.0,91.0,134.0,16.0,9.0,14.0,20.0,18.0,44.0,11.0,24.0,15.0,5.0,28.0,15.0
20,59.0,113.0,90.0,116.0,128.0,5.0,4.0,5.0,31.0,6.0,13.0,11.0,9.0,20.0,333.0,9.0,3.0,36.0,28.0,8.0,9.0,46.0,216.0,5.0,1.0,10.0,8.0,13.0,6.0,105.0,10.0,7.0,106.0,7.0,104.0,7.0,8.0,15.0,21.0,18.0,6.0,5.0,77.0,92.0,17.0,3.0,14.0,13.0,9.0,29.0,12.0,13.0,8.0,0.0,21.0,11.0
21,50.0,99.0,34.0,29.0,107.0,5.0,8.0,9.0,40.0,12.0,11.0,13.0,9.0,21.0,275.0,15.0,7.0,40.0,16.0,8.0,9.0,38.0,165.0,10.0,1.0,7.0,9.0,12.0,15.0,81.0,6.0,8.0,71.0,7.0,80.0,5.0,10.0,12.0,22.0,14.0,11.0,4.0,64.0,83.0,10.0,10.0,6.0,14.0,7.0,23.0,5.0,15.0,4.0,0.0,10.0,13.0
22,10.0,44.0,18.0,8.0,50.0,2.0,5.0,5.0,15.0,7.0,9.0,6.0,3.0,4.0,124.0,5.0,0.0,34.0,5.0,0.0,7.0,57.0,43.0,6.0,5.0,11.0,1.0,7.0,12.0,24.0,4.0,8.0,29.0,8.0,41.0,3.0,9.0,6.0,21.0,7.0,1.0,5.0,20.0,33.0,4.0,7.0,6.0,6.0,4.0,19.0,0.0,3.0,5.0,0.0,11.0,8.0
23,61.0,164.0,95.0,136.0,160.0,9.0,7.0,18.0,37.0,12.0,23.0,12.0,7.0,24.0,447.0,19.0,8.0,62.0,34.0,8.0,14.0,68.0,267.0,13.0,14.0,13.0,9.0,36.0,12.0,136.0,5.0,11.0,141.0,12.0,120.0,12.0,14.0,16.0,28.0,27.0,10.0,8.0,80.0,126.0,25.0,14.0,9.0,23.0,14.0,42.0,13.0,27.0,14.0,4.0,15.0,19.0
24,31.0,81.0,33.0,30.0,64.0,6.0,5.0,16.0,13.0,6.0,7.0,8.0,3.0,6.0,169.0,11.0,4.0,32.0,14.0,3.0,5.0,23.0,127.0,5.0,5.0,10.0,9.0,12.0,10.0,47.0,3.0,1.0,68.0,2.0,70.0,4.0,5.0,4.0,13.0,14.0,6.0,3.0,35.0,62.0,7.0,4.0,7.0,7.0,11.0,11.0,3.0,11.0,3.0,2.0,10.0,7.0
25,48.0,80.0,33.0,21.0,72.0,9.0,11.0,7.0,18.0,6.0,6.0,5.0,5.0,16.0,186.0,6.0,3.0,27.0,16.0,7.0,8.0,19.0,101.0,7.0,6.0,4.0,10.0,11.0,10.0,61.0,7.0,4.0,65.0,8.0,57.0,3.0,8.0,6.0,21.0,8.0,2.0,8.0,32.0,50.0,10.0,9.0,7.0,9.0,4.0,19.0,9.0,15.0,5.0,1.0,16.0,11.0
26,5.0,18.0,9.0,3.0,13.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,3.0,5.0,38.0,1.0,0.0,8.0,1.0,1.0,1.0,10.0,29.0,1.0,0.0,1.0,0.0,3.0,4.0,6.0,1.0,1.0,13.0,2.0,9.0,1.0,2.0,2.0,7.0,4.0,2.0,0.0,12.0,21.0,2.0,2.0,1.0,4.0,3.0,5.0,0.0,0.0,1.0,1.0,4.0,3.0
