,PD13604,PD13605,PD13606,PD13607,PD13608,PD13609,PD13618,PD13619,PD13620,PD13622,PD13623,PD13625,PD13626,PD13627,PD13629,PD13630,PD13631,PD13752,PD13753,PD13754,PD13755,PD13756,PD13757,PD13758,PD13760,PD13761,PD13762,PD13763,PD13764,PD13765,PD13766,PD13767,PD13768,PD13770,PD13771,PD14432,PD14433,PD14435,PD14437,PD14439,PD14441,PD14442,PD14450,PD14453,PD14454,PD14456,PD14457,PD14458,PD14459,PD14460,PD14461,PD14462,PD14465,PD14467,PD14468,PD14471
0,235.0,19.0,121.0,38.0,42.0,27.0,36.0,31.0,82.0,97.0,41.0,201.0,19.0,136.0,17.0,49.0,33.0,56.0,43.0,39.0,29.0,49.0,16.0,28.0,81.0,21.0,27.0,46.0,100.0,197.0,31.0,34.0,14.0,55.0,240.0,28.0,37.0,69.0,74.0,23.0,91.0,24.0,20.0,130.0,51.0,31.0,104.0,28.0,49.0,29.0,20.0,32.0,62.0,27.0,22.0,61.0
1,169.0,30.0,102.0,37.0,31.0,33.0,18.0,28.0,59.0,76.0,25.0,172.0,15.0,118.0,22.0,40.0,41.0,33.0,42.0,38.0,16.0,38.0,14.0,30.0,86.0,18.0,24.0,41.0,65.0,87.0,31.0,28.0,17.0,33.0,233.0,26.0,26.0,50.0,48.0,17.0,80.0,33.0,10.0,96.0,31.0,21.0,54.0,21.0,29.0,18.0,19.0,29.0,40.0,29.0,23.0,56.0
2,47.0,3.0,17.0,5.0,6.0,6.0,5.0,3.0,4.0,12.0,7.0,22.0,2.0,21.0,4.0,6.0,4.0,5.0,5.0,6.0,8.0,5.0,2.0,6.0,12.0,6.0,7.0,10.0,11.0,8.0,3.0,3.0,1.0,4.0,29.0,9.0,8.0,7.0,7.0,4.0,11.0,5.0,3.0,16.0,6.0,7.0,14.0,4.0,7.0,3.0,0.0,8.0,14.0,5.0,3.0,9.0
3,179.0,14.0,71.0,31.0,27.0,33.0,12.0,16.0,61.0,57.0,21.0,155.0,12.0,111.0,20.0,41.0,35.0,40.0,38.0,16.0,16.0,22.0,4.0,30.0,72.0,19.0,13.0,39.0,53.0,86.0,17.0,34.0,10.0,19.0,214.0,22.0,18.0,47.0,51.0,13.0,61.0,19.0,16.0,87.0,35.0,25.0,56.0,14.0,32.0,16.0,19.0,12.0,36.0,11.0,12.0,34.0
4,313.0,20.0,114.0,45.0,27.0,25.0,15.0,22.0,68.0,98.0,26.0,210.0,10.0,119.0,16.0,43.0,39.0,38.0,44.0,28.0,13.0,38.0,15.0,17.0,82.0,23.0,21.0,30.0,67.0,166.0,24.0,41.0,16.0,35.0,204.0,16.0,27.0,39.0,78.0,15.0,99.0,29.0,13.0,99.0,37.0,27.0,107.0,24.0,39.0,19.0,12.0,19.0,32.0,13.0,16.0,45.0
5,186.0,13.0,58.0,48.0,15.0,15.0,10.0,18.0,55.0,64.0,14.0,128.0,14.0,112.0,10.0,33.0,18.0,30.0,23.0,15.0,12.0,19.0,10.0,24.0,88.0,9.0,12.0,26.0,56.0,79.0,15.0,23.0,6.0,22.0,211.0,19.0,21.0,30.0,49.0,11.0,81.0,12.0,11.0,71.0,29.0,15.0,37.0,10.0,14.0,23.0,14.0,23.0,26.0,10.0,10.0,42.0
6,37.0,4.0,25.0,2.0,2.0,2.0,4.0,7.0,7.0,18.0,5.0,39.0,6.0,12.0,8.0,3.0,7.0,3.0,7.0,7.0,6.0,3.0,1.0,4.0,13.0,5.0,7.0,9.0,8.0,25.0,4.0,8.0,4.0,2.0,25.0,3.0,2.0,4.0,10.0,4.0,11.0,6.0,3.0,21.0,6.0,4.0,22.0,3.0,7.0,4.0,3.0,7.0,8.0,4.0,4.0,5.0
7,204.0,8.0,98.0,58.0,24.0,17.0,12.0,17.0,57.0,84.0,18.0,182.0,8.0,114.0,26.0,29.0,26.0,32.0,45.0,22.0,25.0,24.0,8.0,16.0,71.0,19.0,12.0,23.0,53.0,105.0,16.0,27.0,6.0,19.0,191.0,17.0,17.0,26.0,64.0,4.0,64.0,15.0,7.0,72.0,29.0,25.0,71.0,16.0,30.0,13.0,13.0,17.0,35.0,11.0,13.0,39.0
8,272.0,15.0,98.0,31.0,16.0,8.0,19.0,17.0,63.0,125.0,29.0,159.0,11.0,79.0,26.0,48.0,38.0,52.0,30.0,28.0,18.0,26.0,12.0,33.0,38.0,28.0,31.0,31.0,66.0,304.0,29.0,39.0,13.0,48.0,137.0,17.0,19.0,53.0,41.0,22.0,65.0,23.0,11.0,85.0,32.0,43.0,140.0,22.0,70.0,33.0,16.0,23.0,59.0,14.0,19.0,36.0
9,127.0,3.0,70.0,23.0,13.0,14.0,13.0,15.0,33.0,31.0,27.0,99.0,10.0,85.0,21.0,28.0,31.0,31.0,20.0,30.0,14.0,16.0,9.0,17.0,45.0,16.0,11.0,22.0,32.0,82.0,15.0,22.0,14.0,21.0,147.0,18.0,22.0,29.0,24.0,20.0,51.0,17.0,8.0,46.0,17.0,18.0,44.0,11.0,20.0,16.0,10.0,18.0,26.0,11.0,9.0,30.0
10,33.0,3.0,21.0,8.0,4.0,7.0,4.0,3.0,9.0,12.0,6.0,27.0,1.0,12.0,4.0,7.0,7.0,5.0,11.0,2.0,6.0,4.0,5.0,6.0,7.0,2.0,8.0,9.0,7.0,17.0,3.0,6.0,1.0,3.0,22.0,6.0,5.0,8.0,11.0,3.0,7.0,3.0,1.0,11.0,3.0,8.0,19.0,6.0,6.0,3.0,7.0,9.0,4.0,5.0,3.0,14.0
11,188.0,16.0,71.0,29.0,14.0,10.0,15.0,12.0,48.0,83.0,25.0,134.0,5.0,73.0,17.0,40.0,37.0,22.0,20.0,29.0,16.0,16.0,13.0,15.0,44.0,20.0,15.0,17.0,48.0,161.0,11.0,28.0,5.0,38.0,129.0,16.0,21.0,34.0,39.0,25.0,47.0,16.0,15.0,59.0,32.0,28.0,87.0,12.0,38.0,13.0,11.0,12.0,37.0,11.0,18.0,26.0
12,3411.0,21.0,191.0,69.0,67.0,104.0,21.0,21.0,87.0,99.0,61.0,257.0,14.0,89.0,15.0,96.0,54.0,46.0,174.0,37.0,19.0,32.0,24.0,34.0,75.0,28.0,23.0,35.0,76.0,193.0,55.0,38.0,20.0,39.0,224.0,27.0,53.0,62.0,87.0,35.0,94.0,24.0,19.0,180.0,33.0,36.0,129.0,22.0,52.0,77.0,14.0,48.0,55.0,23.0,30.0,49.0
13,1467.0,26.0,103.0,53.0,48.0,45.0,25.0,26.0,75.0,75.0,64.0,170.0,22.0,106.0,24.0,62.0,45.0,33.0,94.0,41.0,20.0,38.0,13.0,34.0,75.0,31.0,29.0,31.0,70.0,144.0,46.0,44.0,21.0,45.0,232.0,43.0,38.0,52.0,49.0,20.0,102.0,33.0,17.0,103.0,51.0,30.0,94.0,17.0,39.0,62.0,21.0,46.0,37.0,16.0,22.0,41.0
14,275.0,3.0,28.0,9.0,8.0,11.0,6.0,4.0,10.0,22.0,12.0,26.0,5.0,8.0,6.0,10.0,7.0,6.0,21.0,6.0,3.0,9.0,6.0,5.0,12.0,7.0,10.0,6.0,15.0,33.0,8.0,12.0,3.0,9.0,29.0,8.0,8.0,11.0,7.0,7.0,11.0,4.0,2.0,20.0,8.0,6.0,28.0,11.0,5.0,11.0,3.0,8.0,11.0,7.0,4.0,11.0
15,2045.0,30.0,253.0,86.0,54.0,95.0,31.0,27.0,162.0,182.0,53.0,319.0,8.0,100.0,30.0,94.0,108.0,86.0,131.0,66.0,25.0,45.0,34.0,44.0,97.0,35.0,32.0,49.0,112.0,318.0,44.0,71.0,24.0,78.0,315.0,41.0,52.0,73.0,169.0,37.0,112.0,41.0,37.0,174.0,54.0,51.0,185.0,31.0,87.0,74.0,28.0,33.0,80.0,40.0,34.0,56.0
16,224.0,9.0,44.0,22.0,15.0,23.0,11.0,15.0,34.0,35.0,20.0,65.0,5.0,144.0,9.0,33.0,12.0,24.0,43.0,21.0,11.0,14.0,10.0,21.0,51.0,15.0,4.0,21.0,51.0,26.0,10.0,19.0,4.0,9.0,166.0,22.0,9.0,18.0,47.0,10.0,50.0,10.0,7.0,76.0,24.0,20.0,29.0,7.0,8.0,15.0,12.0,10.0,24.0,13.0,8.0,24.0
17,96.0,5.0,48.0,20.0,18.0,16.0,5.0,9.0,25.0,17.0,15.0,39.0,5.0,70.0,9.0,19.0,15.0,12.0,22.0,24.0,6.0,9.0,10.0,14.0,27.0,4.0,5.0,8.0,33.0,35.0,9.0,12.0,5.0,9.0,111.0,16.0,12.0,13.0,30.0,8.0,28.0,10.0,5.0,41.0,18.0,5.0,19.0,4.0,10.0,10.0,5.0,11.0,16.0,11.0,9.0,11.0
18,54.0,4.0,9.0,4.0,2.0,11.0,4.0,3.0,4.0,14.0,3.0,13.0,4.0,33.0,3.0,10.0,0.0,1.0,4.0,4.0,1.0,4.0,0.0,6.0,10.0,2.0,3.0,2.0,10.0,6.0,3.0,2.0,1.0,5.0,32.0,1.0,7.0,2.0,11.0,3.0,6.0,6.0,2.0,23.0,5.0,7.0,8.0,6.0,3.0,4.0,4.0,1.0,6.0,2.0,2.0,5.0
19,274.0,19.0,39.0,23.0,12.0,24.0,11.0,22.0,47.0,36.0,23.0,64.0,8.0,182.0,10.0,19.0,21.0,22.0,34.0,25.0,14.0,18.0,12.0,24.0,51.0,7.0,6.0,11.0,43.0,23.0,18.0,12.0,6.0,16.0,149.0,5.0,20.0,18.0,37.0,3.0,52.0,10.0,10.0,87.0,18.0,18.0,17.0,5.0,12.0,22.0,19.0,14.0,30.0,9.0,8.0,37.0
20,278.0,8.0,23.0,11.0,13.0,16.0,6.0,9.0,15.0,16.0,12.0,49.0,2.0,96.0,3.0,16.0,17.0,11.0,36.0,13.0,5.0,7.0,6.0,9.0,38.0,5.0,7.0,17.0,33.0,17.0,8.0,10.0,5.0,9.0,112.0,5.0,5.0,20.0,28.0,5.0,44.0,5.0,5.0,54.0,23.0,7.0,15.0,2.0,8.0,12.0,6.0,13.0,16.0,7.0,1.0,14.0
21,90.0,5.0,32.0,18.0,16.0,16.0,7.0,12.0,19.0,26.0,18.0,53.0,7.0,103.0,5.0,18.0,11.0,12.0,16.0,12.0,6.0,7.0,5.0,13.0,27.0,9.0,10.0,18.0,28.0,15.0,9.0,13.0,11.0,9.0,107.0,7.0,9.0,20.0,18.0,5.0,36.0,12.0,8.0,35.0,14.0,9.0,19.0,5.0,4.0,11.0,7.0,8.0,16.0,11.0,11.0,18.0
22,68.0,2.0,10.0,4.0,5.0,13.0,5.0,6.0,4.0,22.0,3.0,18.0,2.0,30.0,4.0,7.0,5.0,6.0,7.0,0.0,8.0,3.0,2.0,11.0,6.0,2.0,1.0,6.0,15.0,5.0,2.0,7.0,1.0,4.0,27.0,6.0,5.0,4.0,7.0,3.0,14.0,4.0,3.0,24.0,9.0,9.0,13.0,3.0,4.0,6.0,4.0,4.0,14.0,2.0,5.0,9.0
23,339.0,10.0,35.0,16.0,26.0,22.0,13.0,9.0,19.0,35.0,15.0,74.0,8.0,150.0,12.0,28.0,15.0,20.0,42.0,19.0,18.0,10.0,15.0,15.0,57.0,11.0,9.0,24.0,44.0,29.0,11.0,19.0,8.0,12.0,199.0,7.0,15.0,15.0,40.0,12.0,50.0,15.0,8.0,58.0,19.0,15.0,21.0,8.0,10.0,10.0,9.0,10.0,29.0,15.0,8.0,21.0
24,100.0,3.0,17.0,7.0,6.0,5.0,3.0,5.0,7.0,16.0,3.0,20.0,4.0,64.0,3.0,8.0,6.0,13.0,20.0,10.0,10.0,6.0,3.0,8.0,16.0,5.0,4.0,8.0,19.0,14.0,8.0,11.0,2.0,8.0,72.0,8.0,8.0,16.0,11.0,3.0,22.0,6.0,4.0,30.0,8.0,7.0,9.0,3.0,3.0,6.0,7.0,5.0,10.0,7.0,5.0,6.0
25,63.0,4.0,34.0,7.0,11.0,7.0,11.0,8.0,38.0,21.0,12.0,32.0,1.0,59.0,2.0,11.0,7.0,11.0,13.0,10.0,7.0,13.0,5.0,12.0,20.0,7.0,6.0,7.0,19.0,15.0,4.0,6.0,6.0,6.0,74.0,7.0,7.0,10.0,17.0,8.0,27.0,9.0,3.0,42.0,8.0,11.0,13.0,4.0,6.0,5.0,8.0,7.0,11.0,5.0,3.0,13.0
26,20.0,1.0,6.0,2.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,8.0,1.0,16.0,3.0,6.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,24.0,1.0,1.0,3.0,3.0,2.0,6.0,3.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,3.0
27,177.0,4.0,26.0,10.0,14.0,15.0,4.0,8.0,18.0,16.0,19.0,38.0,6.0,109.0,8.0,12.0,5.0,10.0,21.0,12.0,2.0,7.0,4.0,8.0,20.0,3.0,2.0,14.0,24.0,13.0,7.0,14.0,6.0,6.0,135.0,4.0,7.0,18.0,24.0,7.0,37.0,5.0,3.0,54.0,8.0,7.0,13.0,3.0,5.0,7.0,5.0,7.0,12.0,13.0,7.0,18.0
28,13153.0,16.0,55.0,95.0,383.0,635.0,28.0,12.0,48.0,21.0,166.0,111.0,10.0,247.0,29.0,227.0,43.0,26.0,1012.0,28.0,11.0,17.0,67.0,14.0,193.0,8.0,10.0,18.0,129.0,47.0,277.0,33.0,7.0,19.0,476.0,11.0,137.0,89.0,107.0,5.0,81.0,10.0,11.0,724.0,47.0,10.0,22.0,8.0,15.0,318.0,15.0,93.0,29.0,23.0,13.0,26.0
29,2868.0,10.0,42.0,38.0,79.0,118.0,16.0,13.0,29.0,28.0,45.0,76.0,5.0,149.0,15.0,55.0,20.0,14.0,212.0,20.0,10.0,19.0,12.0,19.0,76.0,10.0,10.0,15.0,60.0,30.0,72.0,24.0,8.0,11.0,242.0,17.0,24.0,36.0,40.0,5.0,56.0,11.0,11.0,184.0,26.0,11.0,24.0,9.0,6.0,68.0,11.0,28.0,25.0,16.0,15.0,21.0
30,575.0,3.0,8.0,5.0,16.0,24.0,4.0,2.0,3.0,7.0,11.0,22.0,1.0,29.0,2.0,7.0,4.0,2.0,37.0,2.0,2.0,3.0,3.0,2.0,6.0,3.0,1.0,3.0,5.0,6.0,26.0,4.0,0.0,4.0,31.0,3.0,8.0,4.0,6.0,6.0,9.0,1.0,4.0,55.0,4.0,2.0,12.0,3.0,3.0,20.0,3.0,6.0,9.0,3.0,1.0,5.0
31,17991.0,36.0,125.0,132.0,410.0,696.0,50.0,30.0,130.0,50.0,212.0,231.0,25.0,383.0,55.0,335.0,64.0,42.0,1479.0,53.0,34.0,29.0,78.0,30.0,282.0,24.0,19.0,38.0,184.0,89.0,359.0,53.0,17.0,31.0,727.0,28.0,202.0,112.0,151.0,10.0,141.0,23.0,26.0,1023.0,101.0,28.0,47.0,22.0,30.0,409.0,19.0,109.0,77.0,44.0,16.0,71.0
32,483.0,34.0,102.0,54.0,62.0,46.0,30.0,47.0,83.0,78.0,45.0,192.0,20.0,115.0,41.0,68.0,44.0,60.0,59.0,39.0,49.0,46.0,21.0,42.0,65.0,42.0,33.0,55.0,72.0,75.0,45.0,60.0,26.0,37.0,230.0,40.0,58.0,67.0,85.0,27.0,83.0,34.0,28.0,132.0,43.0,57.0,88.0,34.0,39.0,64.0,29.0,48.0,56.0,36.0,29.0,63.0
33,191.0,20.0,59.0,34.0,32.0,17.0,21.0,26.0,58.0,40.0,36.0,84.0,6.0,57.0,28.0,43.0,26.0,34.0,41.0,23.0,28.0,21.0,10.0,38.0,43.0,36.0,30.0,38.0,58.0,45.0,29.0,38.0,16.0,20.0,149.0,39.0,25.0,48.0,32.0,13.0,55.0,18.0,19.0,55.0,40.0,23.0,59.0,16.0,27.0,31.0,22.0,33.0,33.0,9.0,21.0,36.0
